Province,Province_UPPER,Health_Area,Province_TH,Pop_incl_shadow,Over60_Pop,Risk_Pop,607_Pop,Level
Amnat Charoen,AMNAT CHAROEN,10,อำนาจเจริญ,379995,58559,29299,87858,2
Ang Thong,ANG THONG,4,อ่างทอง,292159,58554,30792,89346,1
Bangkok,BANGKOK,13,กรุงเทพมหานคร,7699175,1041828,1347294,2389122,4
Bueng Kan,BUENG KAN,8,บึงกาฬ,425427,56610,32647,89257,3
Buriram,BURIRAM,9,บุรีรัมย์,1587359,245503,100571,346074,2
Chachoengsao,CHACHOENGSAO,6,ฉะเชิงเทรา,750784,119374,61939,181313,1
Chai Nat,CHAI NAT,3,ชัยนาท,335049,70555,29928,100483,2
Chaiyaphum,CHAIYAPHUM,9,ชัยภูมิ,1134867,198366,82708,281074,2
Chanthaburi,CHANTHABURI,6,จันทบุรี,587421,93678,53888,147566,0
Chiang Mai,CHIANG MAI,1,เชียงใหม่,1729353,327683,121137,448820,1
Chiang Rai,CHIANG RAI,1,เชียงราย,1172648,221915,83210,305125,1
Chonburi,CHONBURI,6,ชลบุรี,2047622,202463,163499,365962,1
Chumphon,CHUMPHON,11,ชุมพร,543683,86444,43866,130310,1
Kalasin,KALASIN,7,กาฬสินธุ์,978299,153873,73666,227539,2
Kamphaeng Phet,KAMPHAENG PHET,3,กำแพงเพชร,725873,123092,49384,172476,2
Kanchanaburi,KANCHANABURI,5,กาญจนบุรี,848454,128589,65929,194518,1
Khon Kaen,KHON KAEN,7,ขอนแก่น,1837005,306081,184948,491029,1
Krabi,KRABI,11,กระบี่,503538,55563,36927,92490,4
Lampang,LAMPANG,1,ลำปาง,731573,166439,63909,230348,2
Lamphun,LAMPHUN,1,ลำพูน,417225,90665,35016,125681,2
Loei,LOEI,8,เลย,640283,109253,54616,163869,2
Lopburi,LOPBURI,4,ลพบุรี,760478,137410,61965,199375,1
Mae Hong Son,MAE HONG SON,1,แม่ฮ่องสอน,245764,32245,18140,50385,2
Maha Sarakham,MAHA SARAKHAM,7,มหาสารคาม,957365,160530,74604,235134,2
Mukdahan,MUKDAHAN,10,มุกดาหาร,351257,49500,27063,76563,3
Nakhon Nayok,NAKHON NAYOK,4,นครนายก,271739,49390,33022,82412,1
Nakhon Pathom,NAKHON PATHOM,5,นครปฐม,1125350,154093,84317,238410,1
Nakhon Phanom,NAKHON PHANOM,8,นครพนม,724861,102345,52074,154419,3
Nakhon Ratchasima,NAKHON RATCHASIMA,9,นครราชสีมา,2692890,444293,217004,661297,1
Nakhon Sawan,NAKHON SAWAN,3,นครสวรรค์,1059708,204731,88144,292875,1
Nakhon Si Thammarat,NAKHON SI THAMMARAT,11,นครศรีธรรมราช,1575117,259868,124714,384582,0
Nan,NAN,1,น่าน,477862,92034,30372,122406,3
Narathiwat,NARATHIWAT,12,นราธิวาส,805356,88252,62661,150913,0
Nong Bua Lamphu,NONG BUA LAMPHU,8,หนองบัวลำภู,523861,75232,34099,109331,1
Nong Khai,NONG KHAI,8,หนองคาย,519027,79142,42190,121332,2
Nonthaburi,NONTHABURI,4,นนทบุรี,1609192,224404,111345,335749,2
Pathum Thani,PATHUM THANI,4,ปทุมธานี,1533781,163587,83021,246608,1
Pattani,PATTANI,12,ปัตตานี,743054,83311,51595,134906,0
Phang Nga,PHANG NGA,11,พังงา,286339,43447,24834,68281,4
Phatthalung,PHATTHALUNG,12,พัทลุง,528207,94324,54293,148617,1
Phayao,PHAYAO,1,พะเยา,468292,97451,34259,131710,2
Phetchabun,PHETCHABUN,2,เพชรบูรณ์,992791,172991,79481,252472,1
Phetchaburi,PHETCHABURI,5,เพชรบุรี,502827,88500,39724,128224,1
Phichit,PHICHIT,3,พิจิตร,536012,106633,50252,156885,1
Phitsanulok,PHITSANULOK,2,พิษณุโลก,1050000,156694,75307,232001,1
Phra Nakhon Si Ayutthaya,PHRA NAKHON SI AYUTTHAYA,4,พระนครศรีอยุธยา,921047,145518,80589,226107,1
Phrae,PHRAE,1,แพร่,441310,98605,32958,131563,2
Phuket,PHUKET,11,ภูเก็ต,547584,45085,55357,100442,4
Prachinburi,PRACHINBURI,6,ปราจีนบุรี,579651,79197,38051,117248,1
Prachuap Khiri Khan,PRACHUAP KHIRI KHAN,5,ประจวบคีรีขันธ์,578094,87483,47033,134516,1
Ranong,RANONG,11,ระนอง,228507,26622,16449,43071,1
Ratchaburi,RATCHABURI,5,ราชบุรี,918674,157198,77452,234650,1
Rayong,RAYONG,6,ระยอง,966932,93134,81936,175070,1
Roi Et,ROI ET,7,ร้อยเอ็ด,1307158,218851,93206,312057,2
Sa Kaeo,SA KAEO,6,สระแก้ว,586286,80605,41060,121665,1
Sakon Nakhon,SAKON NAKHON,8,สกลนคร,1145848,161154,99568,260722,3
Samut Prakan,SAMUT PRAKAN,6,สมุทรปราการ,1931727,199796,94664,294460,1
Samut Sakhon,SAMUT SAKHON,5,สมุทรสาคร,953167,85446,95956,181402,1
Samut Songkhram,SAMUT SONGKHRAM,5,สมุทรสงคราม,204018,42159,15730,57889,1
Saraburi,SARABURI,4,สระบุรี,720145,104939,76856,181795,1
Satun,SATUN,12,สตูล,331057,40058,29653,69711,1
Sing Buri,SING BURI,4,สิงห์บุรี,214665,46958,21781,68739,2
Sisaket,SISAKET,10,ศรีสะเกษ,1460182,227381,74091,301472,2
Songkhla,SONGKHLA,12,สงขลา,1487320,215519,118557,334076,0
Sukhothai,SUKHOTHAI,2,สุโขทัย,596902,116483,51588,168071,2
Suphan Buri,SUPHAN BURI,5,สุพรรณบุรี,850709,164790,83058,247848,1
Surat Thani,SURAT THANI,11,สุราษฎร์ธานี,1144090,154645,117127,271772,1
Surin,SURIN,9,สุรินทร์,1392583,219101,81691,300792,2
Tak,TAK,2,ตาก,589901,74648,32750,107398,0
Trang,TRANG,12,ตรัง,659636,98812,57667,156479,1
Trat,TRAT,6,ตราด,249458,38806,18185,56991,1
Ubon Ratchathani,UBON RATCHATHANI,10,อุบลราชธานี,1880468,270837,143382,414219,1
Udon Thani,UDON THANI,8,อุดรธานี,1565740,229737,117585,347322,1
Uthai Thani,UTHAI THANI,3,อุทัยธานี,334270,63363,30166,93529,2
Uttaradit,UTTARADIT,2,อุตรดิตถ์,455259,93316,33112,126428,2
Yala,YALA,12,ยะลา,547993,61501,48169,109670,0
Yasothon,YASOTHON,10,ยโสธร,535512,88901,42045,130946,2
